,Country,CountryCode,Province,City,CityCode,Lat,Lon,Cases,Status,Date
175,Singapore,SG,,,,1.35,103.82,43256,recovered,2020-07-16T00:00:00Z
176,Singapore,SG,,,,1.35,103.82,43577,recovered,2020-07-17T00:00:00Z
177,Singapore,SG,,,,1.35,103.82,43833,recovered,2020-07-18T00:00:00Z
178,Singapore,SG,,,,1.35,103.82,44086,recovered,2020-07-19T00:00:00Z
179,Singapore,SG,,,,1.35,103.82,44371,recovered,2020-07-20T00:00:00Z
180,Singapore,SG,,,,1.35,103.82,44584,recovered,2020-07-21T00:00:00Z
181,Singapore,SG,,,,1.35,103.82,44795,recovered,2020-07-22T00:00:00Z
182,Singapore,SG,,,,1.35,103.82,45015,recovered,2020-07-23T00:00:00Z
183,Singapore,SG,,,,1.35,103.82,45172,recovered,2020-07-24T00:00:00Z
184,Singapore,SG,,,,1.35,103.82,45352,recovered,2020-07-25T00:00:00Z
185,Singapore,SG,,,,1.35,103.82,45521,recovered,2020-07-26T00:00:00Z
186,Singapore,SG,,,,1.35,103.82,45692,recovered,2020-07-27T00:00:00Z
187,Singapore,SG,,,,1.35,103.82,45893,recovered,2020-07-28T00:00:00Z
188,Singapore,SG,,,,1.35,103.82,46098,recovered,2020-07-29T00:00:00Z
189,Singapore,SG,,,,1.35,103.82,46308,recovered,2020-07-30T00:00:00Z
190,Singapore,SG,,,,1.35,103.82,46491,recovered,2020-07-31T00:00:00Z
191,Singapore,SG,,,,1.35,103.82,46740,recovered,2020-08-01T00:00:00Z
192,Singapore,SG,,,,1.35,103.82,46926,recovered,2020-08-02T00:00:00Z
193,Singapore,SG,,,,1.35,103.82,47179,recovered,2020-08-03T00:00:00Z
194,Singapore,SG,,,,1.35,103.82,47454,recovered,2020-08-04T00:00:00Z
195,Singapore,SG,,,,1.35,103.82,47768,recovered,2020-08-05T00:00:00Z
196,Singapore,SG,,,,1.35,103.82,48031,recovered,2020-08-06T00:00:00Z
197,Singapore,SG,,,,1.35,103.82,48312,recovered,2020-08-07T00:00:00Z
198,Singapore,SG,,,,1.35,103.82,48583,recovered,2020-08-08T00:00:00Z
199,Singapore,SG,,,,1.35,103.82,48915,recovered,2020-08-09T00:00:00Z
200,Singapore,SG,,,,1.35,103.82,49609,recovered,2020-08-10T00:00:00Z
201,Singapore,SG,,,,1.35,103.82,50128,recovered,2020-08-11T00:00:00Z
